ao_hechos;mes_hechos;fecha_hechos;delito;categoria_delito;fiscalia;agencia;unidad_investigacion;alcaldia_hechos;colonia_hechos;ao_inicio;mes_inicio;fecha_inicio;calle_hechos;calle_hechos2;longitud;latitud;geopoint
2019;Mayo;2019-05-08 09:45;SECUESTRO EXPRESS (PARA COMETER ROBO O EXTORSIÓN);DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN VENUSTIANO CARRANZA;VC-1;UI-1SD;VENUSTIANO CARRANZA;FELIPE ÁNGELES;2019;Mayo;2019-05-09 10:55;CIRCUITO INTERIOR;EDUARDO MOLINA;-99.1092852875406;19.4526239733321;19.4526239733,-99.1092852875
2019;Mayo;2019-05-08 16:30;ROBO A CASA HABITACION SIN VIOLENCIA;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN BENITO JUÁREZ;BJ-3;UI-3SD;BENITO JUAREZ;NARVARTE;2019;Mayo;2019-05-09 10:57;ENRIQUE REBSAMEN;NA;-99.1585188009931;19.4014057610759;19.4014057611,-99.158518801
2019;Mayo;2019-05-09 07:00;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;ROBO DE VEHÍCULO CON Y SIN VIOLENCIA;INVESTIGACIÓN EN CUAUHTEMOC;CUH-8;UI-3SD;CUAUHTEMOC;ESPERANZA;2019;Mayo;2019-05-09 11:00;CALZADA DE LA VIGA;NA;-99.1275967829793;19.4211974653162;19.4211974653,-99.127596783
2019;Marzo;2019-03-06 06:00;DESPOJO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN IZTAPALAPA;IZP-6;UI-3CD;IZTAPALAPA;ERMITA ZARAGOZA;2019;Mayo;2019-05-09 11:01;AVENIDA SENTIMIENTOS DE LA NACIÓN (SIERVO DE LA NACION);ESQUINA CON GENERALÍSIMO MORELOS;-98.9933876948659;19.3606350073803;19.3606350074,-98.9933876949
2019;Mayo;2019-05-09 10:30;LESIONES INTENCIONALES POR GOLPES;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN TLAHUAC;TLH-1;UI-3CD;TLAHUAC;SELENE 2A. SECCION;2019;Mayo;2019-05-09 11:09;MONTES PIRINEOS;MAR DE LOS HUMORES;-99.0087158978566;19.2853842775485;19.2853842775,-99.0087158979
2019;Mayo;2019-05-04 07:00;ROBO A NEGOCIO SIN VIOLENCIA;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN CUAUHTEMOC;CUH-2;UI-3SD;CUAUHTEMOC;GUERRERO;2019;Mayo;2019-05-09 11:20;ARTEAGA;NA;-99.1422642002387;19.4476282016554;19.4476282017,-99.1422642002
2018;Diciembre;2018-12-03 18:30;ROBO A NEGOCIO SIN VIOLENCIA;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN CUAUHTEMOC;CUH-2;UI-3SD;CUAUHTEMOC;BUENAVISTA;2019;Mayo;2019-05-09 11:24;EJE  UNO NORTE  MOZQUETA;NA;-99.1519613818464;19.4461422824338;19.4461422824,-99.1519613818
2019;Mayo;2019-05-09 05:30;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN ÁLVARO OBREGÓN;AO-4;UI-3SD;ALVARO OBREGON;LAS AGUILAS 1A SECCIÓN;2019;Mayo;2019-05-09 11:26;TARANGO;NA;-99.2173122708921;19.353871650497;19.3538716505,-99.2173122709
2019;Mayo;2019-05-07 11:15;PRIVACION DE LA LIBERTAD PERSONAL;DELITO DE BAJO IMPACTO;INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO;E;3 CON DETENIDO 3 C/D;MIGUEL HIDALGO;AMPLIACIÓN GRANADA;2019;Mayo;2019-05-09 11:26;LAGO ZURICH;NA;-99.202765199632;19.4453914011969;19.4453914012,-99.2027651996
2018;Noviembre;2018-11-26 16:00;DESPOJO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN MIGUEL HIDALGO;MH-1;UI-1SD;MIGUEL HIDALGO;VERONICA ANZURES;2019;Mayo;2019-05-09 11:30;MELCHOR OCAMPO;NA;-99.1701344889661;19.4360106183408;19.4360106183,-99.170134489
2019;Mayo;2019-05-08 18:00;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;ROBO DE VEHÍCULO CON Y SIN VIOLENCIA;INVESTIGACIÓN EN CUAUHTEMOC;CUH-5;UI-3SD;CUAUHTEMOC;TABACALERA;2019;Mayo;2019-05-09 11:35;JOSE MARIA IGLESIAS;NA;-99.1550030685361;19.4384691664503;19.4384691665,-99.1550030685
2019;Abril;2019-04-29 14:00;ABUSO DE CONFIANZA;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN CUAUHTEMOC;CUH-7;UI-3SD;CUAUHTEMOC;ROMA NORTE;2019;Mayo;2019-05-09 11:36;COZUMEL;NA;-99.1714587611006;19.4211034160287;19.421103416,-99.1714587611
2019;Mayo;2019-05-08 12:00;ACOSO SEXUAL;DELITO DE BAJO IMPACTO;INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES;FDS-1;FDS-1-03;MIGUEL HIDALGO;NA;2019;Mayo;2019-05-09 11:37;NO ESPECIFICA LUGAR DE LOS HECHOS;NA;NA;NA;
2019;Abril;2019-04-27 11:30;ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;INVESTIGACIÓN EN CUAUHTEMOC;CUH-4;UI-3SD;CUAUHTEMOC;CENTRO;2019;Mayo;2019-05-09 11:38;PRIMO DE VERDAD;MONEDA;-99.1309356256739;19.433550577176;19.4335505772,-99.1309356257
2019;Mayo;2019-05-07 17:00;ROBO DE ACCESORIOS DE AUTO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN ÁLVARO OBREGÓN;AO-1;UI-3SD;ALVARO OBREGON;ALFALFAR;2019;Mayo;2019-05-09 11:38;AVENIDA SANTA LUCIA;NA;-99.2018536711249;19.3758956185667;19.3758956186,-99.2018536711
2019;Mayo;2019-05-09 11:20;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;INVESTIGACIÓN EN MIGUEL HIDALGO;MH-5;UI-3CD;MIGUEL HIDALGO;SAN MIGUEL CHAPULTEPEC;2019;Mayo;2019-05-09 11:40;AV.  CONSTITUYENTES;NA;-99.1811813000238;19.4163243037523;19.4163243038,-99.1811813
2019;Mayo;2019-05-08 18:00;ROBO DE ACCESORIOS DE AUTO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN XOCHIMILCO;XO-1;UI-3SD;XOCHIMILCO;SAN LUCAS XOCHIMANCA;2019;Mayo;2019-05-09 11:48;CAPULINES;SANTIAGO    -NO ESTA MARCADA-;-99.1149463002678;19.2362711010521;19.2362711011,-99.1149463003
